% Model,angle sweep a=37 opt=40 correctaccel (-).mph
% Version,COMSOL 5.0.1.276
% Date,"Dec 4 2018, 14:20"
% Dimension,2
% Nodes,1239
% Expressions,3
% Description,"Electric field, z component, Magnetic field, x component, Magnetic field, y component"
% Length unit,m
% x,y,emw.Ez (V/m) @ freq=4.2103E9,emw.Hx (A/m) @ freq=4.2103E9,emw.Hy (A/m) @ freq=4.2103E9
-0.8812868397269156,-0.17801029256553458,0.27755910517526494+0.08032418380840009i,-2.0131973790738796E-4+0.0011087444522735357i,-8.311167770703148E-4+7.672236559481414E-4i
-0.8812868397269156,-0.182574659041571,0.163971536242663-0.005266056469756578i,-0.0011706877848217433-1.0059061062841742E-4i,-1.0465197036736858E-4-0.002366344985620487i
-0.8812868397269156,-0.1734459260894953,0.3941046954847721+0.07775709112075163i,1.2591537398887694E-4+8.537224919851286E-4i,-0.001478885345259558+8.501585614137692E-5i
-0.8812868397269156,-0.168881559613456,0.5125409059549484+0.04416197813470703i,2.7750743787577315E-4+7.221551523822404E-4i,-0.0018747531778478058-4.610920486118162E-5i
-0.8812868397269156,-0.1643171931374167,0.6096017590354943+0.0012338327862972394i,2.766558737993309E-4+5.595880776790431E-4i,-0.002248237481272894-8.368557387150957E-5i
-0.8812868397269156,-0.1597528266613774,0.6818450223395922-0.033221387229549246i,1.743186525617186E-4+4.009892309571171E-4i,-0.002617723010647506-7.200287102086957E-5i
-0.8812868397269156,-0.1551884601853381,0.734722528759473-0.04823360940961867i,2.6524289113020774E-5+3.0429003760491476E-4i,-0.0029865625429625524-3.8111461745119464E-5i
-0.8812868397269156,-0.1506240937092988,0.7806167844838839-0.041597457552210754i,-1.071494726936041E-4+3.0641851353889487E-4i,-0.003360682663604019+1.4073631600557878E-7i
-0.8812868397269156,-0.1460597272332595,0.8349698896035286-0.01911307109024555i,-1.806901216063093E-4+4.1288726296802704E-4i,-0.0037491063714340687+3.120996681017903E-5i
-0.8812868397269156,-0.14149536075722022,0.9115370925909216+0.008517363200947089i,-1.7498049543764494E-4+5.970152620574352E-4i,-0.004161881429130949+4.923996547587841E-5i
-0.8812868397269156,-0.1369309942811809,1.0182776891651162+0.030056496529083706i,-1.013961013854815E-4+8.09354946513292E-4i,-0.004607954009597648+5.3556379367215336E-5i
-0.8812868397269156,-0.1323666278051416,1.1551941211629666+0.03782319066299483i,5.211457243221406E-6+9.942933799420835E-4i,-0.005093590525203488+4.746941204416056E-5i
-0.8812868397269156,-0.1278022613291023,1.3147941394738214+0.03013173685548151i,1.0115322081174389E-4+0.0011083508632105652i,-0.005621626084865214+3.645759165796173E-5i
